"Generation"	"mean.ne"	"l.95"	"u.95"	"pop"
"1"	1	604.72175	424.74185	888.859875	"STLO"
"2"	2	604.72175	424.74185	888.859875	"STLO"
"3"	3	604.72175	424.74185	888.859875	"STLO"
"4"	4	604.72175	424.74185	888.859875	"STLO"
"5"	5	577.01416	405.533325	869.857875	"STLO"
"6"	6	564.39238	394.495975	865.6158	"STLO"
"7"	7	552.24577	388.119975	835.39725	"STLO"
"8"	8	539.88715	378.57065	799.7811	"STLO"
"9"	9	508.56196	372.076425	749.0669	"STLO"
"10"	10	488.02562	360.82845	705.806675	"STLO"
"11"	11	455.50414	329.217725	658.675425	"STLO"
"12"	12	379.82861	268.1751	551.84855	"STLO"
"13"	13	269.78744	191.214625	406.00145	"STLO"
"14"	14	200.00277	155.350025	259.987625	"STLO"
"15"	15	165.45505	136.855	201.18985	"STLO"
"16"	16	146.71422	124.676675	170.9722	"STLO"
"17"	17	137.36907	117.432575	158.4283	"STLO"
"18"	18	132.70029	110.1178	153.045725	"STLO"
"19"	19	129.89807	108.153875	154.064875	"STLO"
"20"	20	128.205571	107.16415	153.220775	"STLO"
"21"	21	126.517945	105.281825	151.492375	"STLO"
"22"	22	125.235584	105.5698	147.4738	"STLO"
"23"	23	123.144944	103.85295	144.141675	"STLO"
"24"	24	121.101114	103.697525	141.6296	"STLO"
"25"	25	118.876362	101.6644	140.9097	"STLO"
"26"	26	116.166097	98.1715325	137.126075	"STLO"
"27"	27	114.155343	97.5867925	133.17405	"STLO"
"28"	28	110.585961	87.922905	128.75195	"STLO"
"29"	29	104.273288	83.19252	127.987525	"STLO"
"30"	30	88.382487	60.8226675	110.37305	"STLO"
"31"	31	71.666193	46.8157125	100.2959075	"STLO"
"32"	32	54.972541	30.02888	86.15789	"STLO"
"33"	33	39.402659	20.678955	60.7155925	"STLO"
"34"	34	25.764487	12.3694925	44.797495	"STLO"
"35"	35	18.4462635	9.50050975	32.818625	"STLO"
"36"	36	15.7300666	8.3640325	28.30556	"STLO"
"37"	37	15.6796071	8.53055525	29.583	"STLO"
"38"	38	16.8809528	8.83561925	31.99009	"STLO"
"39"	39	18.8222304	9.7148625	38.0588875	"STLO"
"40"	40	21.630357	11.2407875	42.8996524999999	"STLO"
"41"	41	25.632516	12.843555	49.8264174999999	"STLO"
"42"	42	31.092839	15.35913	64.4174949999999	"STLO"
"43"	43	40.992295	21.1422175	86.2139149999998	"STLO"
"44"	44	57.986756	28.3357	140.677575	"STLO"
"45"	45	78.178055	38.1591175	168.103999999999	"STLO"
"46"	46	112.200995	57.624615	201.72285	"STLO"
"47"	47	159.936042	92.46926	257.32325	"STLO"
"48"	48	209.65846	115.91125	336.884925	"STLO"
"49"	49	256.29471	163.44245	417.4161	"STLO"
"50"	50	293.88649	203.4671	438.470875	"STLO"
"51"	51	322.62079	235.24765	469.5161	"STLO"
"52"	52	341.59278	257.499525	472.026675	"STLO"
"53"	53	350.15006	261.72455	476.968125	"STLO"
"54"	54	354.52811	266.47235	490.978625	"STLO"
"55"	55	357.42273	271.05645	502.41875	"STLO"
"56"	56	360.14471	271.91485	506.7808	"STLO"
"57"	57	362.19679	266.59445	511.59505	"STLO"
"58"	58	363.13915	271.640475	511.869875	"STLO"
"59"	59	363.89705	273.254625	508.30785	"STLO"
"60"	60	365.40119	278.25265	507.485325	"STLO"
"61"	61	366.41128	277.073975	509.494375	"STLO"
"62"	62	367.10037	276.607675	510.7445	"STLO"
"63"	63	367.97574	272.419775	510.731175	"STLO"
"64"	64	369.12351	270.0004	510.204425	"STLO"
"65"	65	369.96515	271.67795	515.09815	"STLO"
"66"	66	371.38751	275.48645	515.4004	"STLO"
"67"	67	372.36125	279.493175	517.1183	"STLO"
"68"	68	373.48255	278.657025	517.664225	"STLO"
"69"	69	372.97442	279.496275	517.896675	"STLO"
"70"	70	372.40973	281.01555	516.898275	"STLO"
"71"	71	372.91245	284.4345	514.35475	"STLO"
"72"	72	372.67709	284.077575	506.304925	"STLO"
"73"	73	373.45355	281.7002	510.720175	"STLO"
"74"	74	374.75344	278.4621	510.5808	"STLO"
"75"	75	376.20532	279.26145	510.757275	"STLO"
"76"	76	377.64402	280.442175	516.4672	"STLO"
"77"	77	378.92524	279.1475	518.39165	"STLO"
"78"	78	379.46094	280.75995	513.127125	"STLO"
"79"	79	379.46398	282.73515	507.5283	"STLO"
"80"	80	379.07537	287.52845	501.588425	"STLO"
"81"	81	378.75777	292.06775	500.63445	"STLO"
"82"	82	378.25339	292.8414	502.82085	"STLO"
"83"	83	377.91146	290.37805	509.987325	"STLO"
"84"	84	377.4644	288.583675	517.115275	"STLO"
"85"	85	377.1156	287.12395	514.514725	"STLO"
"86"	86	377.20864	286.737275	505.7637	"STLO"
"87"	87	376.36757	286.2747	505.239225	"STLO"
"88"	88	375.40031	288.92305	504.1494	"STLO"
"89"	89	375.33363	287.41875	499.958025	"STLO"
"90"	90	374.34504	285.528425	498.095175	"STLO"
"91"	91	373.37719	283.7438	501.20295	"STLO"
"92"	92	372.08905	282.3746	506.8573	"STLO"
"93"	93	371.17489	280.288375	513.0682	"STLO"
"94"	94	370.4303	275.89515	516.758625	"STLO"
"95"	95	369.38642	273.191175	511.442275	"STLO"
"96"	96	368.52865	273.843075	507.982575	"STLO"
"97"	97	366.88285	274.61065	502.426825	"STLO"
"98"	98	365.57081	274.849075	498.436225	"STLO"
"99"	99	364.47717	271.2417	498.9467	"STLO"
"100"	100	363.21377	268.9364	497.32025	"STLO"
"101"	1	833.70756	503.441075	1265.40625	"STLE"
"102"	2	833.70756	503.441075	1265.40625	"STLE"
"103"	3	833.70756	503.441075	1265.40625	"STLE"
"104"	4	833.70756	503.441075	1265.40625	"STLE"
"105"	5	799.45272	485.653375	1199.63675	"STLE"
"106"	6	779.42765	474.677175	1163.0285	"STLE"
"107"	7	757.84173	456.468275	1103.46475	"STLE"
"108"	8	740.79428	449.601625	1064.73925	"STLE"
"109"	9	701.08411	412.234	1007.4721	"STLE"
"110"	10	637.9224	393.266325	958.755025	"STLE"
"111"	11	506.03169	322.43725	755.08105	"STLE"
"112"	12	350.21753	234.6403	494.7767	"STLE"
"113"	13	235.98368	178.317825	296.5654	"STLE"
"114"	14	174.17702	144.181675	222.77075	"STLE"
"115"	15	145.83071	122.108225	176.907175	"STLE"
"116"	16	131.05658	109.5151	155.108625	"STLE"
"117"	17	123.254748	103.509375	145.615825	"STLE"
"118"	18	119.008615	100.841475	140.640825	"STLE"
"119"	19	116.054547	96.00169	139.9921	"STLE"
"120"	20	113.804518	94.1558675	139.6117	"STLE"
"121"	21	112.199544	90.514185	140.332625	"STLE"
"122"	22	110.828291	89.75276	139.366325	"STLE"
"123"	23	109.556449	87.9293175	138.033325	"STLE"
"124"	24	108.273839	88.11825	137.719725	"STLE"
"125"	25	107.370027	88.6621475	135.845375	"STLE"
"126"	26	107.851633	89.3321875	131.6522	"STLE"
"127"	27	108.76391	90.3790175	134.259775	"STLE"
"128"	28	105.199835	79.7743025	132.220925	"STLE"
"129"	29	95.056787	69.357705	128.760725	"STLE"
"130"	30	83.862307	54.116975	117.429275	"STLE"
"131"	31	68.230385	42.20303	108.0075	"STLE"
"132"	32	53.058204	28.17793	94.722895	"STLE"
"133"	33	37.560386	19.7298675	69.2205475	"STLE"
"134"	34	29.234207	13.3378525	49.9699575	"STLE"
"135"	35	27.6522036	12.2063575	50.598235	"STLE"
"136"	36	29.2049419	11.8336325	56.181215	"STLE"
"137"	37	31.6220842	13.9530975	62.089235	"STLE"
"138"	38	35.279916	13.955935	75.33518	"STLE"
"139"	39	40.029085	14.9649775	89.764815	"STLE"
"140"	40	46.280161	17.0236975	105.913075	"STLE"
"141"	41	54.69674	19.929225	121.220525	"STLE"
"142"	42	68.096229	26.365295	138.955725	"STLE"
"143"	43	86.252335	32.27493	173.368125	"STLE"
"144"	44	110.93385	39.8365625	229.64625	"STLE"
"145"	45	147.732177	56.2850325	309.04465	"STLE"
"146"	46	199.100855	86.1974425	378.370675	"STLE"
"147"	47	245.63856	125.1348	387.808075	"STLE"
"148"	48	287.88088	147.672225	462.278175	"STLE"
"149"	49	331.74957	200.830525	517.70415	"STLE"
"150"	50	371.95069	236.872375	551.051925	"STLE"
"151"	51	403.05459	272.17215	585.84585	"STLE"
"152"	52	422.48624	279.405425	596.010675	"STLE"
"153"	53	434.06546	294.12305	592.838675	"STLE"
"154"	54	441.35699	305.16975	591.83545	"STLE"
"155"	55	445.73744	308.4816	603.719475	"STLE"
"156"	56	448.78369	313.714225	602.46235	"STLE"
"157"	57	451.57974	314.5484	603.93195	"STLE"
"158"	58	453.81444	320.3779	604.737125	"STLE"
"159"	59	455.3217	325.009425	605.049025	"STLE"
"160"	60	457.88024	330.484775	614.035125	"STLE"
"161"	61	459.41684	337.271925	618.137825	"STLE"
